time,wx (rad/s),wy (rad/s),wz (rad/s)
9.678,0.17,-0.11,-0.67
9.68,0.18,-0.09,-0.68
9.682,0.19,-0.07,-0.69
9.684,0.2,-0.05,-0.69
9.69,0.2,-0.04,-0.69
9.692,0.21,-0.03,-0.69
9.692,0.21,-0.01,-0.68
9.694,0.21,0,-0.67
9.697,0.22,0.02,-0.66
9.7,0.23,0.04,-0.65
9.702,0.24,0.06,-0.64
9.704,0.25,0.08,-0.64
9.708,0.26,0.09,-0.63
9.709,0.27,0.11,-0.63
9.712,0.28,0.12,-0.63
9.714,0.28,0.14,-0.63
9.716,0.29,0.15,-0.63
9.718,0.3,0.17,-0.63
9.721,0.31,0.18,-0.64
9.727,0.32,0.18,-0.64
9.728,0.32,0.18,-0.65
9.729,0.33,0.19,-0.66
9.73,0.33,0.18,-0.67
9.733,0.34,0.18,-0.67
9.736,0.35,0.17,-0.69
9.74,0.36,0.15,-0.7
9.741,0.37,0.12,-0.72
9.742,0.39,0.09,-0.74
9.746,0.41,0.07,-0.76
9.749,0.43,0.04,-0.78
9.751,0.45,0.02,-0.8
9.752,0.47,-0.01,-0.81
9.754,0.48,-0.03,-0.83
9.757,0.5,-0.05,-0.85
9.76,0.52,-0.07,-0.86
9.764,0.53,-0.08,-0.87
9.765,0.54,-0.09,-0.88
9.767,0.55,-0.1,-0.89
9.77,0.56,-0.11,-0.9
9.772,0.57,-0.12,-0.9
9.776,0.58,-0.13,-0.91
9.776,0.59,-0.12,-0.92
9.779,0.6,-0.12,-0.92
9.782,0.61,-0.11,-0.93
9.785,0.62,-0.1,-0.93
9.788,0.62,-0.09,-0.94
9.788,0.63,-0.08,-0.95
9.791,0.64,-0.08,-0.96
9.793,0.66,-0.08,-0.97
9.798,0.67,-0.09,-0.98
9.8,0.68,-0.11,-0.99
9.8,0.68,-0.14,-0.99
9.803,0.69,-0.16,-1
9.807,0.69,-0.19,-1
9.809,0.69,-0.21,-0.99
9.812,0.68,-0.25,-0.99
9.812,0.68,-0.26,-0.98
9.815,0.68,-0.28,-0.97
9.818,0.68,-0.3,-0.97
9.822,0.68,-0.31,-0.96
9.824,0.69,-0.32,-0.96
9.827,0.7,-0.33,-0.97
9.828,0.7,-0.32,-0.97
9.829,0.7,-0.31,-0.98
9.834,0.71,-0.28,-0.98
9.835,0.71,-0.25,-0.97
9.837,0.71,-0.22,-0.97
9.839,0.71,-0.18,-0.96
9.844,0.71,-0.14,-0.96
9.845,0.71,-0.11,-0.95
9.848,0.71,-0.08,-0.94
9.849,0.71,-0.06,-0.94
9.85,0.71,-0.05,-0.94
9.853,0.71,-0.04,-0.94
9.861,0.71,-0.03,-0.93
9.862,0.71,-0.01,-0.93
9.863,0.72,0,-0.93
9.863,0.73,0.03,-0.94
9.866,0.75,0.05,-0.94
9.869,0.76,0.09,-0.96
9.872,0.76,0.12,-0.98
9.872,0.77,0.16,-1.01
9.875,0.77,0.2,-1.04
9.877,0.76,0.24,-1.07
9.882,0.75,0.28,-1.11
9.884,0.73,0.32,-1.15
9.884,0.72,0.35,-1.18
9.887,0.7,0.37,-1.22
9.891,0.69,0.39,-1.26
9.894,0.68,0.4,-1.3
9.896,0.67,0.41,-1.33
9.896,0.66,0.41,-1.37
9.901,0.66,0.4,-1.4
9.902,0.65,0.39,-1.43
9.905,0.65,0.39,-1.45
9.908,0.64,0.38,-1.48
9.909,0.63,0.38,-1.5
9.911,0.62,0.38,-1.53
9.914,0.62,0.37,-1.56
9.918,0.61,0.37,-1.59
9.922,0.6,0.36,-1.62
9.922,0.6,0.35,-1.65
9.925,0.6,0.34,-1.67
9.926,0.6,0.33,-1.7
9.929,0.59,0.32,-1.72
9.933,0.6,0.31,-1.74
9.933,0.6,0.3,-1.75
9.936,0.61,0.29,-1.77
9.941,0.63,0.29,-1.79
9.942,0.65,0.29,-1.81
9.944,0.68,0.3,-1.83
9.945,0.7,0.32,-1.85
9.948,0.74,0.34,-1.87
9.95,0.77,0.36,-1.9
9.954,0.8,0.39,-1.92
9.958,0.82,0.4,-1.95
9.959,0.86,0.41,-1.97
9.959,0.89,0.43,-1.98
9.962,0.93,0.43,-2
9.966,0.96,0.43,-2.01
9.97,0.98,0.43,-2.02
9.97,1,0.43,-2.02
9.971,1.02,0.44,-2.02
9.979,1.03,0.45,-2.02
9.979,1.02,0.46,-2.02
9.979,1,0.48,-2.02
9.984,0.97,0.5,-2.02
9.984,0.94,0.53,-2.02
9.986,0.89,0.57,-2.03
10.003,0.83,0.6,-2.05
10.004,0.77,0.63,-2.07
10.005,0.7,0.65,-2.1
10.005,0.63,0.67,-2.14
10.005,0.58,0.68,-2.18
10.005,0.51,0.69,-2.24
10.005,0.46,0.69,-2.29
10.005,0.41,0.68,-2.35
10.008,0.36,0.68,-2.41
10.01,0.32,0.66,-2.46
10.013,0.28,0.64,-2.52
10.016,0.24,0.61,-2.57
10.018,0.2,0.58,-2.62
10.02,0.15,0.55,-2.66
10.025,0.11,0.51,-2.68
10.025,0.06,0.48,-2.71
10.028,0.02,0.44,-2.72
10.029,-0.03,0.4,-2.72
10.032,-0.07,0.35,-2.72
10.036,-0.11,0.28,-2.72
10.038,-0.14,0.21,-2.71
10.041,-0.17,0.12,-2.71
10.042,-0.19,0.01,-2.7
10.044,-0.22,-0.12,-2.68
10.047,-0.25,-0.27,-2.65
10.05,-0.27,-0.44,-2.61
10.053,-0.29,-0.64,-2.56
10.053,-0.3,-0.85,-2.5
10.058,-0.32,-1.07,-2.43
10.058,-0.34,-1.3,-2.35
10.062,-0.35,-1.53,-2.26
10.064,-0.35,-1.73,-2.16
10.065,-0.36,-1.91,-2.05
10.068,-0.36,-2.05,-1.93
10.071,-0.37,-2.15,-1.81
10.076,-0.39,-2.21,-1.7
10.076,-0.41,-2.25,-1.58
10.078,-0.41,-2.25,-1.48
10.08,-0.43,-2.25,-1.4
10.083,-0.44,-2.22,-1.33
10.086,-0.45,-2.19,-1.28
10.088,-0.45,-2.15,-1.24
10.089,-0.46,-2.1,-1.21
10.094,-0.47,-2.04,-1.19
10.095,-0.48,-1.98,-1.18
10.101,-0.49,-1.92,-1.18
10.101,-0.51,-1.85,-1.17
10.102,-0.52,-1.78,-1.16
10.104,-0.54,-1.71,-1.15
10.119,-0.56,-1.65,-1.12
10.12,-0.58,-1.59,-1.09
10.12,-0.59,-1.55,-1.05
10.121,-0.6,-1.5,-1
10.121,-0.6,-1.45,-0.94
10.121,-0.6,-1.4,-0.88
10.122,-0.59,-1.36,-0.82
10.125,-0.58,-1.31,-0.75
10.125,-0.56,-1.26,-0.68
10.128,-0.53,-1.2,-0.6
10.13,-0.51,-1.14,-0.52
10.134,-0.48,-1.06,-0.44
10.137,-0.44,-0.98,-0.36
10.137,-0.41,-0.89,-0.27
10.141,-0.37,-0.81,-0.18
10.144,-0.34,-0.72,-0.09
10.146,-0.3,-0.62,0
10.149,-0.27,-0.53,0.09
10.151,-0.24,-0.43,0.19
10.152,-0.2,-0.34,0.29
10.155,-0.17,-0.25,0.4
10.157,-0.14,-0.16,0.5
10.16,-0.11,-0.08,0.61
10.161,-0.08,0,0.73
10.165,-0.05,0.09,0.84
10.167,-0.02,0.16,0.95
10.17,0.01,0.22,1.07
10.175,0.04,0.29,1.18
10.177,0.07,0.35,1.28
10.177,0.1,0.4,1.38
10.178,0.12,0.45,1.48
10.184,0.15,0.49,1.56
10.184,0.18,0.52,1.65
10.186,0.2,0.54,1.72
10.195,0.22,0.55,1.79
10.196,0.24,0.54,1.85
10.196,0.26,0.53,1.91
10.196,0.28,0.51,1.97
10.204,0.29,0.46,2.02
10.204,0.31,0.41,2.07
10.204,0.32,0.35,2.12
10.214,0.33,0.27,2.17
10.214,0.35,0.17,2.22
10.215,0.36,0.07,2.26
10.215,0.37,-0.05,2.31
10.215,0.37,-0.18,2.35
10.219,0.38,-0.32,2.39
10.22,0.39,-0.47,2.43
10.221,0.39,-0.63,2.47
10.223,0.4,-0.79,2.51
10.228,0.39,-0.95,2.55
10.229,0.39,-1.12,2.59
10.232,0.4,-1.29,2.63
10.234,0.4,-1.46,2.67
10.237,0.39,-1.63,2.71
10.24,0.4,-1.8,2.75
10.243,0.4,-1.97,2.78
10.245,0.4,-2.13,2.82
10.245,0.4,-2.29,2.85
10.248,0.41,-2.44,2.88
10.251,0.41,-2.59,2.91
10.254,0.4,-2.73,2.94
10.257,0.4,-2.86,2.97
10.257,0.4,-2.98,3
10.26,0.4,-3.1,3.03
10.264,0.4,-3.2,3.07
10.267,0.41,-3.29,3.1
10.27,0.41,-3.38,3.13
10.27,0.41,-3.46,3.17
10.272,0.42,-3.53,3.21
10.275,0.42,-3.59,3.24
10.279,0.44,-3.64,3.28
10.28,0.44,-3.68,3.32
10.282,0.45,-3.72,3.35
10.285,0.47,-3.74,3.39
10.287,0.48,-3.76,3.43
10.292,0.49,-3.78,3.47
10.292,0.5,-3.78,3.51
10.294,0.51,-3.79,3.54
10.296,0.53,-3.78,3.58
10.3,0.54,-3.77,3.62
10.303,0.55,-3.75,3.66
10.306,0.57,-3.73,3.7
10.307,0.58,-3.7,3.74
10.311,0.6,-3.66,3.77
10.312,0.62,-3.62,3.81
10.315,0.63,-3.58,3.85
10.317,0.65,-3.52,3.89
10.317,0.67,-3.47,3.92
10.32,0.69,-3.41,3.96
10.324,0.7,-3.35,4
10.326,0.72,-3.28,4.03
10.328,0.73,-3.21,4.07
10.329,0.74,-3.14,4.11
10.332,0.75,-3.07,4.14
10.334,0.76,-2.99,4.18
10.338,0.76,-2.92,4.21
10.346,0.76,-2.85,4.24
10.347,0.76,-2.77,4.28
10.348,0.76,-2.7,4.31
10.348,0.75,-2.64,4.34
10.35,0.74,-2.56,4.38
10.352,0.74,-2.49,4.41
10.354,0.73,-2.42,4.44
10.366,0.71,-2.35,4.47
10.366,0.7,-2.29,4.5
10.367,0.7,-2.22,4.53
10.367,0.69,-2.16,4.56
10.367,0.68,-2.1,4.58
10.368,0.67,-2.04,4.61
10.371,0.66,-1.99,4.63
10.375,0.65,-1.94,4.65
10.377,0.64,-1.89,4.67
10.378,0.64,-1.85,4.69
10.38,0.64,-1.8,4.71
10.384,0.63,-1.76,4.73
10.387,0.63,-1.71,4.75
10.391,0.62,-1.67,4.77
10.395,0.62,-1.63,4.78
10.396,0.61,-1.59,4.79
10.396,0.61,-1.56,4.8
10.399,0.6,-1.52,4.81
10.401,0.59,-1.49,4.82
10.402,0.58,-1.45,4.82
10.405,0.58,-1.41,4.82
10.408,0.57,-1.36,4.81
10.411,0.57,-1.3,4.8
10.412,0.57,-1.23,4.79
10.415,0.57,-1.16,4.76
10.418,0.57,-1.08,4.73
10.419,0.57,-1,4.7
10.424,0.57,-0.91,4.67
10.424,0.58,-0.82,4.63
10.427,0.59,-0.71,4.6
10.429,0.6,-0.6,4.56
10.432,0.61,-0.49,4.53
10.435,0.63,-0.37,4.49
10.437,0.66,-0.25,4.45
10.44,0.68,-0.14,4.41
10.441,0.69,-0.04,4.36
10.444,0.71,0.06,4.31
10.448,0.71,0.15,4.25
10.449,0.71,0.23,4.2
10.45,0.7,0.3,4.14
10.453,0.69,0.37,4.08
10.457,0.68,0.43,4.02
10.461,0.66,0.5,3.95
10.461,0.64,0.56,3.89
10.463,0.61,0.62,3.81
10.465,0.57,0.68,3.73
10.468,0.53,0.76,3.64
10.47,0.47,0.83,3.54
10.478,0.41,0.91,3.43
10.478,0.33,1,3.3
10.479,0.26,1.11,3.15
10.479,0.17,1.2,3
10.482,0.09,1.3,2.83
10.484,0.01,1.39,2.66
10.486,-0.06,1.47,2.48
10.493,-0.12,1.53,2.29
10.494,-0.16,1.56,2.1
10.494,-0.19,1.57,1.91
10.496,-0.2,1.55,1.71
10.498,-0.2,1.5,1.51
10.5,-0.2,1.43,1.31
10.503,-0.19,1.34,1.11
10.507,-0.18,1.24,0.91
10.509,-0.17,1.13,0.71
10.509,-0.18,1.03,0.52
10.512,-0.2,0.92,0.31
10.516,-0.22,0.82,0.11
10.519,-0.27,0.73,-0.09
10.52,-0.32,0.64,-0.29
10.523,-0.38,0.58,-0.48
10.524,-0.44,0.51,-0.67
10.528,-0.5,0.46,-0.84
10.531,-0.56,0.41,-0.99
10.532,-0.6,0.37,-1.12
10.535,-0.63,0.34,-1.24
10.537,-0.65,0.31,-1.35
10.541,-0.66,0.29,-1.44
10.541,-0.66,0.27,-1.51
10.544,-0.65,0.26,-1.57
10.546,-0.63,0.25,-1.61
10.549,-0.61,0.25,-1.64
10.552,-0.59,0.26,-1.66
10.556,-0.58,0.28,-1.67
10.558,-0.55,0.31,-1.68
10.559,-0.55,0.34,-1.68
10.56,-0.54,0.39,-1.68
10.564,-0.54,0.44,-1.68
10.566,-0.55,0.51,-1.68
10.568,-0.56,0.59,-1.67
10.57,-0.58,0.67,-1.68
10.574,-0.6,0.76,-1.68
10.576,-0.63,0.87,-1.69
10.578,-0.66,0.97,-1.7
10.58,-0.69,1.07,-1.72
10.582,-0.72,1.17,-1.74
10.585,-0.74,1.27,-1.76
10.592,-0.75,1.36,-1.79
10.593,-0.76,1.43,-1.81
10.593,-0.77,1.5,-1.83
10.594,-0.77,1.57,-1.85
10.597,-0.76,1.63,-1.87
10.6,-0.76,1.69,-1.89
10.602,-0.73,1.75,-1.9
10.611,-0.69,1.82,-1.88
10.611,-0.63,1.91,-1.84
10.612,-0.55,2.01,-1.74
10.615,-0.43,2.14,-1.57
10.616,-0.26,2.35,-1.32
10.617,0.01,2.67,-0.95
10.619,0.36,3.1,-0.48
10.621,0.74,3.56,0.03
10.627,1.07,3.89,0.52
10.628,1.33,3.93,0.86
10.629,1.52,3.72,0.99
10.631,1.62,3.41,0.93
10.632,1.53,3.06,0.67
10.636,1.19,2.66,0.22
10.642,0.64,2.25,-0.36
10.643,0.03,1.79,-0.99
10.643,-0.47,1.3,-1.55
10.645,-0.82,0.88,-2.01
10.649,-1.06,0.56,-2.36
10.651,-1.23,0.31,-2.64
10.653,-1.36,0.05,-2.85
10.657,-1.48,-0.27,-3.02
10.658,-1.57,-0.62,-3.14
10.66,-1.64,-0.98,-3.24
10.664,-1.7,-1.31,-3.3
10.665,-1.73,-1.57,-3.32
10.667,-1.73,-1.78,-3.31
10.669,-1.7,-1.94,-3.26
10.674,-1.65,-2.05,-3.17
10.675,-1.58,-2.14,-3.06
10.676,-1.49,-2.22,-2.94
10.678,-1.38,-2.3,-2.82
10.681,-1.27,-2.39,-2.71
10.683,-1.17,-2.5,-2.62
10.685,-1.09,-2.62,-2.56
10.69,-1.05,-2.73,-2.52
10.692,-1.03,-2.83,-2.49
10.693,-1.05,-2.91,-2.45
10.697,-1.07,-2.91,-2.41
10.698,-1.1,-2.86,-2.34
10.701,-1.14,-2.75,-2.26
10.703,-1.16,-2.58,-2.17
10.708,-1.16,-2.35,-2.07
10.709,-1.15,-2.07,-1.97
10.711,-1.11,-1.78,-1.87
10.713,-1.03,-1.48,-1.79
10.714,-0.94,-1.17,-1.72
10.717,-0.85,-0.86,-1.66
10.723,-0.75,-0.56,-1.61
10.724,-0.65,-0.25,-1.56
10.726,-0.56,0.05,-1.52
10.728,-0.49,0.35,-1.46
10.729,-0.44,0.63,-1.4
10.734,-0.42,0.91,-1.33
10.736,-0.43,1.16,-1.25
10.737,-0.45,1.41,-1.17
10.745,-0.49,1.63,-1.07
10.747,-0.53,1.83,-0.97
10.747,-0.58,1.99,-0.86
10.755,-0.62,2.13,-0.76
10.756,-0.66,2.22,-0.67
10.756,-0.69,2.26,-0.58
10.757,-0.71,2.27,-0.49
10.765,-0.73,2.24,-0.42
10.765,-0.73,2.16,-0.36
10.766,-0.72,2.05,-0.31
10.766,-0.71,1.89,-0.27
10.766,-0.7,1.71,-0.23
10.769,-0.68,1.5,-0.2
10.771,-0.67,1.27,-0.17
10.775,-0.65,1.05,-0.14
10.776,-0.64,0.83,-0.12
10.777,-0.64,0.62,-0.1
10.782,-0.64,0.43,-0.11
10.782,-0.65,0.25,-0.13
10.785,-0.65,0.09,-0.18
10.786,-0.66,-0.05,-0.25
10.79,-0.65,-0.17,-0.35
10.793,-0.65,-0.24,-0.46
10.796,-0.64,-0.28,-0.59
10.796,-0.64,-0.28,-0.72
10.799,-0.63,-0.24,-0.84
10.801,-0.62,-0.19,-0.94
10.807,-0.6,-0.13,-1.03
10.809,-0.57,-0.08,-1.09
10.809,-0.55,-0.06,-1.12
10.811,-0.51,-0.05,-1.13
10.814,-0.47,-0.04,-1.12
10.817,-0.43,-0.04,-1.1
10.82,-0.39,-0.03,-1.07
10.824,-0.36,-0.02,-1.03
10.825,-0.33,0.01,-0.97
10.827,-0.31,0.04,-0.91
10.829,-0.3,0.09,-0.83
10.831,-0.3,0.15,-0.75
10.833,-0.3,0.21,-0.67
10.835,-0.31,0.27,-0.6
10.838,-0.32,0.33,-0.52
10.841,-0.33,0.39,-0.45
10.845,-0.34,0.44,-0.4
10.845,-0.36,0.48,-0.36
10.847,-0.37,0.5,-0.32
10.849,-0.37,0.53,-0.3
10.853,-0.37,0.54,-0.27
10.857,-0.37,0.56,-0.26
10.859,-0.36,0.56,-0.25
10.859,-0.35,0.56,-0.24
10.863,-0.34,0.55,-0.24
10.865,-0.32,0.54,-0.24
10.867,-0.31,0.52,-0.25
10.869,-0.3,0.5,-0.26
10.871,-0.3,0.48,-0.28
10.878,-0.29,0.46,-0.29
10.879,-0.29,0.45,-0.29
10.879,-0.29,0.43,-0.3
10.881,-0.3,0.41,-0.3
10.883,-0.3,0.39,-0.31
10.885,-0.31,0.37,-0.31
10.897,-0.31,0.35,-0.31
10.898,-0.31,0.33,-0.31
10.899,-0.31,0.31,-0.3
10.899,-0.31,0.3,-0.3
10.899,-0.31,0.29,-0.29
10.901,-0.3,0.28,-0.29
10.904,-0.3,0.28,-0.28
10.908,-0.3,0.28,-0.28
10.909,-0.29,0.3,-0.27
10.91,-0.29,0.31,-0.26
10.913,-0.29,0.33,-0.25
10.915,-0.29,0.34,-0.24
10.917,-0.29,0.37,-0.23
10.919,-0.29,0.4,-0.22
10.923,-0.29,0.43,-0.21
10.925,-0.29,0.47,-0.2
10.927,-0.29,0.5,-0.19
10.929,-0.29,0.53,-0.18
10.931,-0.29,0.56,-0.17
10.934,-0.29,0.59,-0.16
10.937,-0.29,0.61,-0.14
10.94,-0.29,0.62,-0.13
10.942,-0.29,0.63,-0.12
10.943,-0.3,0.63,-0.1
10.946,-0.3,0.63,-0.1
10.95,-0.3,0.61,-0.09
10.952,-0.31,0.61,-0.09
10.953,-0.3,0.6,-0.08
10.957,-0.3,0.58,-0.08
10.959,-0.3,0.56,-0.08
10.961,-0.3,0.53,-0.08
10.964,-0.3,0.5,-0.08
10.965,-0.29,0.47,-0.09
10.968,-0.28,0.46,-0.09
10.97,-0.29,0.45,-0.1
10.974,-0.29,0.44,-0.11
10.976,-0.29,0.45,-0.13
10.979,-0.29,0.45,-0.14
10.98,-0.28,0.45,-0.14
10.982,-0.29,0.44,-0.15
10.986,-0.29,0.43,-0.16
10.994,-0.28,0.42,-0.16
10.995,-0.28,0.41,-0.15
10.996,-0.28,0.41,-0.15
10.996,-0.29,0.41,-0.15
10.999,-0.29,0.41,-0.15
11.002,-0.3,0.42,-0.16
11.002,-0.3,0.43,-0.16
11.003,-0.31,0.44,-0.18
11.016,-0.32,0.45,-0.19
11.017,-0.33,0.47,-0.2
11.017,-0.34,0.49,-0.22
11.018,-0.35,0.5,-0.24
11.019,-0.36,0.52,-0.26
11.019,-0.37,0.53,-0.28
11.026,-0.38,0.53,-0.31
11.027,-0.39,0.53,-0.33
11.027,-0.4,0.52,-0.36
11.028,-0.41,0.51,-0.4
11.03,-0.41,0.5,-0.44
11.034,-0.41,0.48,-0.48
11.036,-0.42,0.46,-0.52
11.038,-0.42,0.45,-0.56
11.042,-0.43,0.45,-0.6
11.043,-0.43,0.44,-0.63
11.045,-0.44,0.45,-0.67
11.049,-0.45,0.45,-0.71
11.05,-0.47,0.45,-0.74
11.052,-0.47,0.45,-0.78
11.054,-0.48,0.44,-0.81
11.059,-0.49,0.43,-0.85
11.06,-0.5,0.42,-0.88
11.061,-0.5,0.42,-0.9
11.064,-0.5,0.42,-0.92
11.066,-0.5,0.42,-0.95
11.069,-0.5,0.43,-0.97
11.076,-0.5,0.45,-0.99
11.077,-0.5,0.47,-1
11.077,-0.5,0.5,-1.02
11.078,-0.51,0.53,-1.03
11.082,-0.52,0.56,-1.04
11.084,-0.53,0.6,-1.04
11.085,-0.54,0.65,-1.05
11.088,-0.55,0.68,-1.05
11.09,-0.56,0.73,-1.05
11.095,-0.57,0.77,-1.05
11.096,-0.58,0.81,-1.05
11.098,-0.59,0.85,-1.05
11.099,-0.59,0.88,-1.05
11.103,-0.59,0.92,-1.04
11.107,-0.59,0.95,-1.04
11.108,-0.58,0.98,-1.03
11.109,-0.58,1,-1.04
11.112,-0.59,1.01,-1.05
11.114,-0.6,1.01,-1.06
11.118,-0.62,1.03,-1.08
11.12,-0.62,1.03,-1.09
11.123,-0.63,1.03,-1.12
11.124,-0.63,1.01,-1.14
11.126,-0.63,1.01,-1.16
11.129,-0.62,0.99,-1.19
11.134,-0.62,0.98,-1.22
11.134,-0.61,0.95,-1.25
11.136,-0.61,0.93,-1.28
11.144,-0.61,0.92,-1.31
11.145,-0.61,0.89,-1.34
11.146,-0.6,0.87,-1.37
11.146,-0.6,0.85,-1.4
11.148,-0.6,0.83,-1.42
11.15,-0.6,0.8,-1.45
11.154,-0.6,0.79,-1.47
11.167,-0.61,0.77,-1.49
11.168,-0.61,0.76,-1.51
11.169,-0.62,0.75,-1.53
11.169,-0.63,0.74,-1.55
11.17,-0.63,0.75,-1.58
11.17,-0.64,0.75,-1.6
11.171,-0.65,0.75,-1.63
11.175,-0.65,0.76,-1.66
11.176,-0.65,0.77,-1.68
11.178,-0.65,0.78,-1.71
11.18,-0.65,0.8,-1.73
11.181,-0.65,0.8,-1.76
11.184,-0.65,0.81,-1.78
11.186,-0.66,0.81,-1.8
11.191,-0.66,0.81,-1.83
11.192,-0.66,0.82,-1.85
11.194,-0.66,0.82,-1.87
11.196,-0.66,0.83,-1.89
11.199,-0.66,0.83,-1.92
11.202,-0.67,0.83,-1.95
11.205,-0.66,0.84,-1.97
11.207,-0.66,0.85,-2
11.208,-0.66,0.86,-2.03
11.21,-0.66,0.88,-2.05
11.215,-0.66,0.9,-2.08
11.217,-0.66,0.92,-2.1
11.217,-0.66,0.94,-2.13
11.221,-0.66,0.97,-2.16
11.223,-0.66,0.99,-2.18
11.226,-0.65,1.01,-2.2
11.229,-0.64,1.01,-2.22
11.229,-0.64,1.01,-2.24
11.233,-0.64,0.98,-2.27
11.235,-0.64,0.93,-2.28
11.242,-0.64,0.87,-2.3
11.244,-0.62,0.81,-2.3
11.244,-0.58,0.76,-2.3
11.245,-0.52,0.71,-2.3
11.248,-0.45,0.67,-2.31
11.251,-0.38,0.65,-2.33
11.254,-0.33,0.66,-2.36
11.254,-0.29,0.69,-2.4
11.257,-0.28,0.75,-2.45
11.26,-0.3,0.84,-2.49
11.263,-0.34,0.95,-2.53
11.265,-0.38,1.07,-2.57
11.267,-0.44,1.19,-2.6
11.269,-0.48,1.3,-2.63
11.271,-0.52,1.39,-2.65
11.278,-0.53,1.47,-2.67
11.279,-0.53,1.55,-2.7
11.279,-0.52,1.61,-2.72
11.28,-0.5,1.68,-2.74
11.283,-0.48,1.75,-2.76
11.288,-0.46,1.84,-2.78
11.29,-0.43,1.94,-2.81
11.29,-0.41,2.07,-2.83
11.293,-0.38,2.21,-2.86
11.295,-0.36,2.37,-2.89
11.298,-0.34,2.53,-2.92
11.301,-0.33,2.71,-2.95
11.302,-0.32,2.89,-2.98
11.305,-0.32,3.05,-3.01
11.308,-0.33,3.19,-3.04
11.319,-0.37,3.29,-3.06
11.32,-0.42,3.35,-3.08
11.32,-0.51,3.34,-3.09
11.32,-0.64,3.27,-3.11
11.32,-0.79,3.12,-3.13
11.322,-0.96,2.89,-3.14
11.326,-1.17,2.65,-3.15
11.326,-1.35,2.39,-3.15
11.329,-1.5,2.16,-3.12
11.331,-1.59,1.96,-3.06
11.335,-1.64,1.8,-3
11.337,-1.64,1.66,-2.92
11.34,-1.61,1.53,-2.83
11.343,-1.55,1.4,-2.76
11.343,-1.46,1.29,-2.69
11.347,-1.37,1.18,-2.63
11.349,-1.26,1.09,-2.58
